company,symbol,weight,current_price,ytd_return
Digital Realty Trust Inc.,DLR,0.089044,   96.00, -45.25%
DuPont de Nemours Inc.,DD,0.088418,   53.56, -31.70%
Republic Services Inc.,RSG,0.087831,   133.98, -4.16%
PPG Industries Inc.,PPG,0.087794,   113.75, -32.30%
WEC Energy Group Inc,WEC,0.087779,   107.40, -9.56%
Verisk Analytics Inc,VRSK,0.087313,   169.36, -23.99%
AMETEK Inc.,AME,0.087287,   117.99, -18.99%
Halliburton Company,HAL,0.087103,   32.12, 33.19%
Rockwell Automation Inc.,ROK,0.087043,   233.93, -32.12%
Fastenal Company,FAST,0.086504,   45.30, -25.88%
Mettler-Toledo International Inc.,MTD,0.086347,"   1,166.97", -29.30%
ON Semiconductor Corporation,ON,0.084162,   60.77, -10.59%
Discover Financial Services,DFS,0.084159,   94.08, -16.68%
Eversource Energy,ES,0.084082,   93.96, -16.62%
Arista Networks Inc.,ANET,0.083806,   105.11, -26.07%
Diamondback Energy Inc.,FANG,0.080664,   146.05, 31.53%
Old Dominion Freight Line Inc.,ODFL,0.078729,   260.01, -25.04%
AvalonBay Communities Inc.,AVB,0.078678,   173.35, -29.63%
ONEOK Inc.,OKE,0.078662,   55.69, -5.26%
Baker Hughes Company Class A,BKR,0.078273,   25.65, 0.50%
American Water Works Company Inc.,AWK,0.077562,   134.00, -28.64%
W.W. Grainger Inc.,GWW,0.077019,   516.00, 2.58%
Corning Inc,GLW,0.076381,   31.42, -15.39%
Copart Inc.,CPRT,0.076258,   110.95, -25.77%
T. Rowe Price Group,TROW,0.075903,   101.76, -47.05%
Fifth Third Bancorp,FITB,0.075662,   33.26, -19.95%
Aptiv PLC,APTV,0.075601,   85.95, -46.55%
Walgreens Boots Alliance Inc.,WBA,0.075318,   33.48, -36.54%
International Flavors & Fragrances Inc.,IFF,0.074919,   92.55, -38.47%
Coterra Energy Inc.,CTRA,0.07486,   30.15, 54.95%
Willis Towers Watson Public Limited Company,WTW,0.074753,   208.56, -11.44%
State Street Corporation,STT,0.074682,   63.00, -30.73%
HP Inc.,HPQ,0.074395,   25.87, -32.17%
Gartner Inc.,IT,0.07341,   286.27, -13.24%
D.R. Horton Inc.,DHI,0.073188,   67.79, -33.28%
Genuine Parts Company,GPC,0.072912,   158.97, 14.57%
Extra Space Storage Inc.,EXR,0.072485,   165.92, -24.63%
CBRE Group Inc. Class A,CBRE,0.072172,   67.83, -35.24%
Zimmer Biomet Holdings Inc.,ZBH,0.072161,   108.12, -14.18%
Tractor Supply Company,TSCO,0.07203,   196.32, -14.99%
PG&E Corporation,PCG,0.071911,   14.05, 16.56%
AmerisourceBergen Corporation,ABC,0.071607,   142.00, 8.35%
Weyerhaeuser Company,WY,0.070914,   29.05, -24.87%
Equity Residential,EQR,0.070202,   63.63, -28.17%
Fortive Corp.,FTV,0.070029,   60.67, -19.18%
CDW Corp.,CDW,0.069425,   159.47, -21.29%
Edison International,EIX,0.069119,   55.95, -15.87%
Hartford Financial Services Group Inc.,HIG,0.069067,   68.00, -3.24%
First Republic Bank,FRC,0.068514,   111.79, -43.24%
eBay Inc.,EBAY,0.067683,   37.75, -42.11%
DTE Energy Company,DTE,0.067507,   108.63, -8.07%
Ulta Beauty Inc.,ULTA,0.067468,   386.26, -1.78%
Entergy Corporation,ETR,0.067102,   100.37, -8.18%
Molina Healthcare Inc.,MOH,0.066937,   353.21, 13.05%
Vulcan Materials Company,VMC,0.06679,   154.77, -23.51%
United Rentals Inc.,URI,0.06611,   286.85, -11.11%
LyondellBasell Industries NV,LYB,0.065308,   79.00, -13.02%
Delta Air Lines Inc.,DAL,0.065257,   32.49, -17.68%
Regions Financial Corporation,RF,0.065243,   20.90, -0.64%
Ameren Corporation,AEE,0.064801,   78.56, -10.84%
FirstEnergy Corp.,FE,0.064801,   36.92, -10.29%
Huntington Bancshares Incorporated,HBAN,0.064794,   13.62, -8.50%
Equifax Inc.,EFX,0.064092,   160.79, -43.32%
CF Industries Holdings Inc.,CF,0.063904,   101.18, 41.62%
Raymond James Financial Inc.,RJF,0.063713,   100.00, 2.35%
Alexandria Real Estate Equities Inc.,ARE,0.063366,   130.59, -40.01%
Martin Marietta Materials Inc.,MLM,0.063344,   313.34, -27.30%
Lennar Corporation Class A,LEN,0.062724,   72.43, -33.82%
Southwest Airlines Co.,LUV,0.062477,   33.10, -22.25%
EPAM Systems Inc.,EPAM,0.062398,   331.50, -49.14%
Nasdaq Inc.,NDAQ,0.062054,   58.00, -18.28%
Invitation Homes Inc.,INVH,0.061759,   32.50, -26.58%
Laboratory Corporation of America Holdings,LH,0.061623,   208.82, -32.21%
Cardinal Health Inc.,CAH,0.061599,   70.56, 37.23%
Tyson Foods Inc. Class A,TSN,0.061382,   64.89, -24.62%
SVB Financial Group,SIVB,0.061326,   321.00, -51.34%
West Pharmaceutical Services Inc.,WST,0.061321,   245.00, -44.22%
Take-Two Interactive Software Inc.,TTWO,0.060944,   122.47, -31.75%
Quanta Services Inc.,PWR,0.060491,   132.57, 16.36%
Ingersoll Rand Inc.,IR,0.060372,   46.31, -24.00%
ANSYS Inc.,ANSS,0.05992,   214.19, -45.91%
Principal Financial Group Inc.,PFG,0.059842,   78.77, 10.44%
Marathon Oil Corporation,MRO,0.059748,   28.35, 67.84%
PPL Corporation,PPL,0.059741,   25.33, -15.54%
Kellogg Company,K,0.05918,   73.99, 14.08%
McCormick & Company Incorporated,MKC,0.058921,   74.69, -22.77%
Citizens Financial Group Inc.,CFG,0.058135,   36.72, -21.82%
Northern Trust Corporation,NTRS,0.057878,   79.51, -26.75%
Church & Dwight Co. Inc.,CHD,0.057218,   73.62, -27.96%
Dover Corporation,DOV,0.0563,   121.36, -32.04%
Mosaic Company,MOS,0.056132,   50.30, 29.32%
Waters Corporation,WAT,0.055169,   277.36, -23.79%
Mid-America Apartment Communities Inc.,MAA,0.055034,   147.61, -34.32%
VeriSign Inc.,VRSN,0.054604,   182.10, -27.95%
STERIS Plc,STE,0.0544,   167.13, -29.83%
Amcor PLC,AMCR,0.053891,   10.96, -6.74%
CenterPoint Energy Inc.,CNP,0.053852,   27.00, -3.40%
Broadridge Financial Solutions Inc.,BR,0.053568,   143.50, -20.38%
Xylem Inc.,XYL,0.053457,   92.90, -21.96%
Hewlett Packard Enterprise Co.,HPE,0.053285,   12.60, -18.39%
Conagra Brands Inc.,CAG,0.053181,   34.93, 2.28%
Clorox Company,CLX,0.052617,   134.84, -22.49%
Darden Restaurants Inc.,DRI,0.052341,   133.00, -11.42%
PerkinElmer Inc.,PKI,0.052272,   127.66, -35.16%
CMS Energy Corporation,CMS,0.052103,   55.63, -13.05%
Cincinnati Financial Corporation,CINF,0.051738,   101.04, -10.83%
AES Corporation,AES,0.051543,   23.10, 0.41%
Teledyne Technologies Incorporated,TDY,0.05129,   348.51, -20.77%
Hologic Inc.,HOLX,0.051186,   62.17, -16.63%
Westinghouse Air Brake Technologies Corporation,WAB,0.050815,   87.10, -5.20%
Ball Corporation,BALL,0.050409,   49.46, -47.93%
Synchrony Financial,SYF,0.050235,   31.59, -29.75%
Paycom Software Inc.,PAYC,0.050185,   320.50, -20.73%
KeyCorp,KEY,0.050179,   16.50, -26.59%
IDEX Corporation,IEX,0.049643,   204.06, -12.78%
FactSet Research Systems Inc.,FDS,0.049188,   406.10, -15.79%
Quest Diagnostics Incorporated,DGX,0.049032,   126.66, -25.10%
Align Technology Inc.,ALGN,0.048894,   204.50, -68.05%
J.M. Smucker Company,SJM,0.04883,   143.85, 4.73%
EQT Corporation,EQT,0.048824,   42.25, 91.70%
Expeditors International of Washington Inc.,EXPD,0.048543,   91.01, -30.93%
Targa Resources Corp.,TRGP,0.048528,   67.57, 28.52%
Ventas Inc.,VTR,0.048312,   37.12, -25.45%
Essex Property Trust Inc.,ESS,0.048095,   227.12, -33.77%
Jacobs Solutions Inc.,J,0.047783,   114.15, -16.84%
FMC Corporation,FMC,0.047434,   116.67, 7.10%
Expedia Group Inc.,EXPE,0.046898,   96.30, -45.71%
W. R. Berkley Corporation,WRB,0.046875,   71.46, 30.72%
Brown & Brown Inc.,BRO,0.046057,   63.74, -11.55%
Omnicom Group Inc,OMC,0.046034,   68.41, -5.45%
Avery Dennison Corporation,AVY,0.045488,   171.27, -20.03%
Atmos Energy Corporation,ATO,0.04513,   102.04, -2.88%
Monolithic Power Systems Inc.,MPWR,0.044865,   314.83, -36.03%
J.B. Hunt Transport Services Inc.,JBHT,0.044734,   167.96, -17.86%
NetApp Inc.,NTAP,0.044566,   63.10, -31.80%
Trimble Inc.,TRMB,0.044446,   54.83, -36.05%
Jack Henry & Associates Inc.,JKHY,0.044195,   187.11, 13.15%
Tyler Technologies Inc.,TYL,0.044018,   336.37, -36.91%
Zebra Technologies Corporation Class A,ZBRA,0.043714,   260.46, -55.66%
Akamai Technologies Inc.,AKAM,0.043535,   82.83, -27.90%
Iron Mountain Inc.,IRM,0.043404,   46.30, -9.94%
Best Buy Co. Inc.,BBY,0.042973,   63.86, -34.49%
LKQ Corporation,LKQ,0.042894,   51.15, -14.31%
Catalent Inc,CTLT,0.04269,   71.08, -41.47%
Evergy Inc.,EVRG,0.042684,   58.32, -14.23%
Incyte Corporation,INCY,0.042396,   69.59, -3.12%
Hormel Foods Corporation,HRL,0.042383,   46.12, -6.23%
Textron Inc.,TXT,0.042321,   61.84, -18.98%
Skyworks Solutions Inc.,SWKS,0.041993,   81.55, -47.22%
APA Corp.,APA,0.041593,   41.97, 48.08%
Match Group Inc.,MTCH,0.041327,   44.73, -65.23%
FLEETCOR Technologies Inc.,FLT,0.041274,   167.48, -23.14%
Cboe Global Markets Inc,CBOE,0.041231,   119.75, -6.45%
NVR Inc.,NVR,0.041104,"   3,977.85", -29.58%
Garmin Ltd.,GRMN,0.040926,   81.15, -39.11%
Leidos Holdings Inc.,LDOS,0.040905,   93.19, 5.43%
Howmet Aerospace Inc.,HWM,0.040518,   33.87, 5.59%
Pool Corporation,POOL,0.040496,   298.12, -43.66%
Etsy Inc.,ETSY,0.040446,   94.70, -54.11%
Alliant Energy Corp,LNT,0.040391,   50.35, -17.16%
Cooper Companies Inc.,COO,0.040334,   256.48, -38.30%
Host Hotels & Resorts Inc.,HST,0.039761,   17.53, 1.50%
International Paper Company,IP,0.039621,   32.56, -28.61%
NortonLifeLock Inc.,NLOK,0.039569,   21.51, -17.36%
Healthpeak Properties Inc.,PEAK,0.039565,   22.24, -35.83%
Camden Property Trust,CPT,0.039227,   112.73, -35.38%
Lamb Weston Holdings Inc.,LW,0.039206,   83.70, 34.55%
Kimco Realty Corporation,KIM,0.038593,   18.43, -20.20%
Domino's Pizza Inc.,DPZ,0.038431,   323.80, -41.72%
C.H. Robinson Worldwide Inc.,CHRW,0.038122,   93.45, -10.62%
UDR Inc.,UDR,0.038075,   38.86, -33.34%
Brown-Forman Corporation Class B,BF.B,0.038065,   64.26, -9.77%
United Airlines Holdings Inc.,UAL,0.037939,   38.99, -14.92%
Nordson Corporation,NDSN,0.037743,   216.76, -14.34%
Las Vegas Sands Corp.,LVS,0.037691,   35.50, -4.76%
PTC Inc.,PTC,0.037352,   108.62, -8.18%
Bio-Techne Corporation,TECH,0.037314,   289.00, -41.50%
ABIOMED Inc.,ABMD,0.037281,   253.24, -27.84%
Stanley Black & Decker Inc.,SWK,0.037217,   74.50, -59.00%
Snap-on Incorporated,SNA,0.037051,   207.28, 0.59%
Viatris Inc.,VTRS,0.036831,   9.38, -28.97%
SolarEdge Technologies Inc.,SEDG,0.036645,   200.00, -26.07%
Interpublic Group of Companies Inc.,IPG,0.036551,   28.49, -21.76%
Teradyne Inc.,TER,0.036515,   73.80, -55.49%
Live Nation Entertainment Inc.,LYV,0.036183,   79.62, -33.49%
Everest Re Group Ltd.,RE,0.035139,   279.00, 1.58%
Packaging Corporation of America,PKG,0.035139,   114.40, -14.29%
Masco Corporation,MAS,0.035113,   46.35, -30.70%
Advance Auto Parts Inc.,AAP,0.034639,   171.20, -27.16%
Royal Caribbean Group,RCL,0.034587,   46.70, -36.91%
Loews Corporation,L,0.034087,   54.54, -5.45%
MGM Resorts International,MGM,0.033998,   32.09, -27.43%
Seagate Technology Holdings PLC,STX,0.033713,   52.85, -53.12%
Globe Life Inc.,GL,0.033612,   112.56, 20.95%
Boston Properties Inc.,BXP,0.033505,   71.82, -35.41%
Western Digital Corporation,WDC,0.033459,   33.00, -48.46%
Charles River Laboratories International Inc.,CRL,0.032785,   200.00, -45.36%
Campbell Soup Company,CPB,0.032742,   50.88, 16.31%
NiSource Inc,NI,0.032709,   24.88, -8.48%
